,r4,r3,r2,r1,r0
var_150,0.5242899999999999,0.52556,0.5252899999999999,0.5260199999999999,0.52579
var_151,0.52228,0.52322,0.52244,0.52272,0.52275
var_152,0.50489,0.50658,0.5037699999999999,0.50242,0.50449
var_153,0.5049899999999999,0.50193,0.5007199999999999,0.50083,0.50011
var_154,0.54302,0.54352,0.5441,0.5445,0.54455
var_155,0.53199,0.53277,0.53179,0.53185,0.5314800000000001
var_156,0.51372,0.51417,0.51331,0.51351,0.51325
var_157,0.52668,0.52463,0.5258,0.52504,0.5253899999999999
var_158,0.49823,0.49393000000000004,0.49478999999999995,0.49409,0.49451000000000006
var_159,0.5111,0.51103,0.51081,0.5102300000000001,0.5103800000000001
var_160,0.50446,0.50284,0.50536,0.50667,0.50722
var_161,0.50295,0.50279,0.50289,0.50242,0.50207
var_162,0.5282100000000001,0.52865,0.5271,0.527,0.5272899999999999
var_163,0.5312399999999999,0.52904,0.52966,0.53004,0.52975
var_164,0.53808,0.53961,0.53884,0.53875,0.5394
var_165,0.55133,0.5514899999999999,0.5511199999999999,0.55108,0.55109
var_166,0.55093,0.55095,0.5522100000000001,0.5522600000000001,0.55219
var_167,0.52869,0.52812,0.52718,0.5270100000000001,0.52741
var_168,0.5103,0.51163,0.51149,0.51266,0.5120600000000001
var_169,0.5465399999999999,0.54582,0.5461,0.54609,0.54609
var_170,0.53963,0.53898,0.53883,0.53962,0.53983
var_171,0.50962,0.51089,0.5136,0.5130399999999999,0.51347
var_172,0.53871,0.5374800000000001,0.53756,0.53796,0.53779
var_173,0.53794,0.53666,0.53622,0.53601,0.53533
var_174,0.55242,0.5524399999999999,0.5526,0.55295,0.55279
var_175,0.51981,0.52174,0.5202,0.52018,0.51956
var_176,0.50473,0.5022399999999999,0.50465,0.5021100000000001,0.50192
var_177,0.53452,0.53495,0.53701,0.5361,0.5361199999999999
var_178,0.5192100000000001,0.51874,0.51771,0.51673,0.51676
var_179,0.54382,0.54219,0.5423600000000001,0.54133,0.54146
var_180,0.5255,0.52799,0.52694,0.52728,0.52694
var_181,0.51315,0.50934,0.5081600000000001,0.50843,0.50837
var_182,0.50249,0.50495,0.50245,0.50285,0.50336
var_183,0.49482,0.49508,0.49531000000000003,0.49526000000000003,0.49381
var_184,0.54842,0.54514,0.5451600000000001,0.54499,0.54495
var_185,0.49423,0.49876000000000004,0.5021899999999999,0.50058,0.49888999999999994
var_186,0.5270199999999999,0.5268,0.52658,0.5264800000000001,0.52622
var_187,0.5113800000000001,0.5118199999999999,0.5127,0.5130600000000001,0.5127
var_188,0.52994,0.52859,0.52689,0.52679,0.52704
var_189,0.50798,0.50748,0.50558,0.5068199999999999,0.50662
var_190,0.55101,0.54986,0.5493100000000001,0.55023,0.55028
var_191,0.54325,0.54275,0.54271,0.5422899999999999,0.5427
var_192,0.54161,0.54192,0.54143,0.5415,0.5415800000000001
var_193,0.51459,0.5132,0.51103,0.51375,0.5130399999999999
var_194,0.5172899999999999,0.51825,0.5181,0.51742,0.51774
var_195,0.52508,0.5249699999999999,0.52359,0.52395,0.5241
var_196,0.52076,0.52082,0.51855,0.51825,0.5181600000000001
var_197,0.5288,0.5272600000000001,0.52752,0.52745,0.52699
var_198,0.5498,0.54906,0.5474100000000001,0.54727,0.54761
var_199,0.52251,0.5211399999999999,0.52061,0.52007,0.51971
